# 출처: https://parkjj327.tistory.com/2003 (일본 기념일 월별 목록)
# 형식: 월|일|기념일,기념일,...   ※ 원문 표기 그대로. 기계번역 오류 포함.
1|1|무쇠팔 아톰의 날
1|2|월 로켓의 날
1|3|눈동자의 날,사랑의 도피의 날
1|4|석의 날
1|5|바둑의 날,딸기의 날,신데렐라의 날
1|6|색의 날,케이크의 날
1|7|손톱깍기의 날,천엔권의 날,은의 날
1|8|외국 우편의 날,도박의 날
1|9|감기의 날,이라고 치노일
1|10|110번의 날,명란의 날
1|11|소금의 날
1|12|스키의 날,사쿠라지마의 날
1|13|담배의 날
1|14|타로와 지로의 날
1|15|위키페디아의 날,성인의 날
1|16|금주의 날
1|17|방재와 자원봉사의 날,주먹밥의 날
1|18|118번의 날,도버스 기념일,일본옷 화재의 날
1|19|노래자랑의 날
1|20|신데렐라의 꿈의 날
1|21|요리프로의 날
1|22|재즈의 날,카레의 날,비행선의 날
1|23|전자메일의 날,핫코타산의 날,아몬드의 날
1|24|우편제도 시행 기념일,돈의 날,골드 러쉬 데이
1|25|일본 최저기온의 날,핫키의 날,중화만두의 날,좌천의 날,사과의 날
1|26|문화재 방화 데이,주차 미터의 날
1|27|국기 제정 기념일,구혼의 날
1|28|카피라이터의 날,의류 건조기의 날,세렌디피티의 날
1|29|쇼와기지 개설 기념일,타운 정보의 날
1|30|3분간 전화의 날
1|31|애처가의 날
2|1|TV방송 기념일,니오이의 날
2|2|두통의 날
2|3|오오오카 에츠젠의 날
2|4|서쪽의 날,은각사의 날
2|5|프로야구의 날
2|6|김의 날,가루차의 날,브로그의 날
2|7|북방 영토의 날
2|8|로카빌리의 날
2|9|옷의 날,복의 날,고기의 날
2|10|니트의 날,머위의 새순의 날,연극구경의 날,이부자리의 날,옷감의 날
2|11|건국기념일,만세 삼창의 날,왕개곁 기념일
2|12|브래지어의 날,페니실린의 날,보브스레이의 날
2|13|은행 강도의 날
2|14|발렌타인데이,초콜릿의 날,쪄서 말림의 날
2|15|하루이치방 명명의 날,코머셜 포토의 날
2|16|일기도 기념일,한천의 날
2|17|천사의 속삭임의 날
2|18|에어 메일의 날,혐연 운동의 날,명왕성의 날
2|19|만국우편연합 가맹 기념일,프로레슬링의 날
2|20|여권의 날,가부키의 날,보통선거의 날,알레르기의 날,교통사고 제로를 목표로 하는 날
2|21|일간 신문 창간의 날,식량관리법 공포 기념일,소세키의 날,국제 모어의 날
2|22|국제 우애의 날,고양이의 날,설겆이 건조기의 날,닌자의 날,타케시마의 날
2|23|세무사 기념일,후지산의 날,보자기의 날
2|24|크로스 컨트리의 날,철도 파업의 날,달빛 가면 등장의 날
2|25|석간지의 날,하코네 용수 완성의 날
2|26|탈출의 날,함림환의 날,파나마 운하 개통 기념일,혈액은행 개업 기념일
2|27|신센구미의 날,정의 날
2|28|에세이 기념일,비스킷의 날,바보새끼의 날,오리베의 날
2|29|마늘의 날,도약의 날,후지급의 날,윤육의 날,킨육 맨의 날
3|1|비키니 데이,노동법 시행 기념일,마치의 날,행진곡의 날,돼지의 날
3|2|미니츄어의 날
3|3|귀의 날,민방 라디오의 날,평화의 날,복숭아의 날,금붕어의 날,납폐의 날,살사의 날,서든의 날
3|4|잡지의 날,미싱의 날,샷시의 날,삼현의 발현 악기의 날
3|5|산호의 날,미스 안녕의 날,스튜어디스의 날
3|6|남동생의 날,스포츠 신의 날,세계일주 기념일
3|7|소방 기념일,경찰제도 개정 기념일
3|8|국제 여성 데이,꿀벌의 날,에스컬레이터의 날,선물의 날
3|9|어업법기념일,고마워요의 날,기념 우표 기념일,레코드바늘의 날
3|10|육군 기념일,설탕의 날,사도의 날,미토의 날,민트의 날,선인장의 날,농산어촌 여성의 날
3|11|칼럼의 날,팬더 발견의 날
3|12|지갑의 날,모스의 날
3|13|세이칸 터널 개업 기념일,기분의 날
3|14|화이트 데이,캔디의 날,마시마로 데이,수학의 날,국제 결혼의 날
3|15|구두 기념일,올리브의 날
3|16|국립공원 지정 기념일
3|17|만화 주간지의 날
3|18|정령의 날
3|19|뮤직의 날
3|20|동물애호 데이,우에노 동물원 개원 기념일,LP레코드의 날,계산기의 날
3|21|최면술의 날,가방의 날,세계 시가 기념일
3|22|방송 기념일,유엔수의 날
3|23|세계 기상의 날
